county_name,total,under1,under10k,under25k,under50k,under75k,under100k,under200k,over200k,fipscode
Clay County,6250,80,1090,1460,1670,920,520,430,80,54015
Clinton County,17540,200,2870,3380,3750,2730,1860,2420,330,42035
Coles County,21140,240,3810,5200,4960,2840,1840,1840,410,17029
Cook County,2524550,34520,389600,593870,595800,335510,199830,265940,109480,27031
Crawford County,8760,120,1490,1910,1980,1280,850,950,180,55023
Cumberland County,4930,70,760,1060,1210,870,520,380,60,51049
De Witt County,7740,70,1150,1660,1790,1200,770,940,160,48123
DeKalb County,45640,600,7650,9650,9980,6440,4680,5700,940,47041
Douglas County,10020,120,1570,2130,2620,1550,940,910,180,55031
DuPage County,468210,6980,70270,77070,91310,61900,45480,79910,35290,17043
Edgar County,8190,140,1390,1860,2010,1200,750,700,140,17045
Edwards County,2960,40,470,590,770,480,300,280,30,48137
Effingham County,17560,220,3010,4000,4060,2640,1600,1590,440,17049
Fayette County,9170,160,1640,2300,2120,1370,820,650,110,54019
Ford County,6570,90,1070,1380,1600,1020,630,650,130,20057
Franklin County,16750,180,2980,4400,4020,2330,1370,1310,160,53021
Fulton County,15880,180,2530,3920,3820,2420,1550,1270,190,42057
Gallatin County,2310,30,340,540,540,330,220,240,70,30031
Greene County,5900,80,1030,1430,1460,890,510,430,70,51079
Grundy County,24360,250,3630,4460,4800,3640,2830,4170,580,47061
Hamilton County,3690,40,630,850,870,580,330,320,70,48193
Hancock County,8730,140,1360,1880,2160,1430,920,700,140,54029
Hardin County,1610,40,250,430,350,270,150,120,0,48199
Henderson County,3350,60,530,740,880,540,320,240,40,48213
Henry County,24240,250,3820,4900,5660,3600,2660,2840,510,51089
ILLINOIS,6100350,77120,951350,1330030,1362480,824450,545960,752520,256440,17000
Iroquois County,13930,180,2350,3170,3330,1940,1440,1270,250,17075
Jackson County,23240,370,4600,6280,4850,2880,1730,2040,490,55053
Jasper County,4670,80,780,930,1110,780,470,450,70,48241
Jefferson County,16770,190,2900,4130,4110,2490,1430,1270,250,55055
Jersey County,10250,130,1730,2130,2130,1590,1190,1200,150,17083
Jo Daviess County,12360,300,2470,2790,2650,1730,1090,1080,250,17085
Johnson County,4920,50,790,1130,1120,770,540,470,50,56019
Kane County,239360,2660,35220,50270,52120,29730,21860,36290,11210,49025
Kankakee County,50640,450,8270,12100,11680,7260,4770,5290,820,17091
Kendall County,54450,500,7390,8610,10350,7990,6920,10870,1820,48259
Knox County,23470,230,4060,6010,5520,3200,2040,1980,430,48275
LaSalle County,54150,570,9240,12100,11950,7970,5370,5970,980,48283
Lake County,339540,5520,53230,61400,64640,39570,28990,54250,31940,47095
Lawrence County,6400,60,1100,1510,1620,940,560,530,80,47099
Lee County,16260,210,2810,3350,3730,2500,1610,1700,350,51105
Livingston County,17180,170,2830,3560,3800,2630,1810,1990,390,36051
Logan County,12580,120,2010,2630,2980,1950,1270,1370,250,54045
Macon County,49420,410,7990,12280,11090,6910,4470,5040,1230,47111
Macoupin County,21200,240,3300,4790,4880,3300,2210,2210,270,17117
Madison County,124640,1200,19510,27470,26780,17740,12650,16390,2900,51113
Marion County,17950,180,3330,4550,4350,2510,1510,1320,200,54049
Marshall County,6000,70,950,1220,1420,930,610,680,120,54051
Mason County,6460,70,1070,1480,1580,950,590,600,120,54053
Massac County,6400,60,1060,1700,1520,870,600,540,50,17127
McDonough County,12350,170,2350,2730,2870,1710,1120,1180,220,17109
McHenry County,152010,2130,23880,26180,29520,20570,16640,26480,6610,38049
McLean County,77430,600,11330,14870,15140,10950,8220,13090,3230,38055
Menard County,6190,50,940,1080,1250,1010,760,950,150,48327
Mercer County,7900,110,1130,1550,1840,1380,900,840,150,54055
Monroe County,16720,190,2350,2680,3090,2470,2100,3210,630,55081
Montgomery County,12660,120,2080,2900,2860,1960,1250,1280,210,51121
Morgan County,15720,160,2590,3680,3680,2250,1490,1560,310,54065
Moultrie County,6700,90,980,1410,1770,1030,700,600,120,17139
Ogle County,25430,350,4170,5110,5670,3820,2630,3180,500,17141
Peoria County,89440,720,14110,21030,19890,11450,7750,10640,3850,17143
Perry County,8890,100,1500,2170,2060,1330,940,710,80,47135
Piatt County,8010,80,1250,1390,1720,1250,920,1150,250,17147
Pike County,6910,160,1160,1580,1790,1000,610,490,120,42103
Pope County,1630,50,270,380,370,250,160,150,0,27121
Pulaski County,2440,20,410,690,630,380,170,140,0,51155
Putnam County,2940,50,440,550,650,470,370,340,70,54079
Randolph County,13900,150,2160,3290,3230,2080,1470,1350,170,54083
Richland County,7520,100,1320,1810,1810,1100,650,590,140,55103
Rock Island County,71080,500,10470,17390,17440,10320,6620,6960,1380,17161
Saline County,10370,130,1850,2650,2240,1480,960,920,140,31151
Sangamon County,99860,860,15340,21380,21460,13920,10070,13670,3160,17167
Schuyler County,3260,40,520,680,850,550,320,250,50,36097
Scott County,2430,30,390,500,610,390,260,210,40,51169
Shelby County,10300,150,1620,2190,2550,1690,1010,920,170,48419
St. Clair County,121410,1070,19280,29980,26910,15900,10930,14630,2710,29185
Stark County,2700,40,470,520,630,420,260,280,80,39151
Stephenson County,22310,350,4050,5440,5030,3140,2020,1920,360,17177
Tazewell County,64580,470,9530,13130,14510,9730,6810,8540,1860,51185
Union County,7760,110,1250,1920,1810,1160,680,730,100,47173
Vermilion County,34560,340,5830,9060,8680,4840,2850,2520,440,17183
Wabash County,5280,50,860,1130,1210,800,580,530,120,18169
Warren County,8040,100,1370,1810,2080,1160,690,660,170,51187
Washington County,7210,90,1150,1450,1620,1170,750,840,140,55131
Wayne County,7540,100,1240,1730,1910,1200,700,550,110,54099
White County,6410,80,1040,1390,1460,990,700,590,160,47185
Whiteside County,27850,300,4650,6420,6730,4200,2630,2490,430,17195
Will County,321310,3550,48720,59380,62130,42830,34260,56450,13990,17197
Williamson County,30050,380,4870,7400,7090,4140,2710,2890,570,48491
Winnebago County,135290,1530,22120,32700,32910,18570,11800,13110,2550,55139
Woodford County,18270,160,2730,3060,3540,2660,2150,3190,780,21239
Adams County,14790,200,2730,3350,3840,2180,1330,940,220,55001
Allen County,171380,1910,31380,40940,40620,22650,14380,15260,4240,39003
Bartholomew County,38970,330,6480,7620,9530,5910,3660,4340,1100,18005
Benton County,4060,60,750,860,1050,560,390,320,70,53005
Blackford County,5870,70,1220,1470,1490,800,430,340,50,18009
Boone County,29140,420,4800,4490,5420,3650,2870,4870,2620,54005
Brown County,7600,140,1410,1670,1640,1130,740,740,130,55009
Carroll County,9530,130,1700,1920,2290,1520,970,850,150,51035
Cass County,18060,180,3160,4530,5100,2520,1310,1060,200,48067
Clark County,55220,450,8760,13110,14710,7900,4910,4690,690,55019
Clay County,12060,150,2200,2820,3060,1800,1060,870,100,54015
Clinton County,15350,170,2690,3740,3920,2200,1290,1160,180,42035
Crawford County,4620,70,870,1190,1300,640,330,220,0,55023
Daviess County,14050,210,2630,3200,3750,1830,1170,1070,190,29061
DeKalb County,20020,210,3630,4470,5030,2980,1850,1580,270,47041
Dearborn County,24280,240,4090,4820,5340,3740,2630,3010,410,18029
Decatur County,12910,160,2520,2750,3350,1880,1120,960,170,47039
Delaware County,48560,520,9850,12980,11250,6140,3610,3450,760,42045
Dubois County,21910,230,4250,3870,5570,3160,2220,2020,590,18037
Elkhart County,92020,990,15460,21180,26120,13580,7020,5900,1770,18039
Fayette County,10000,160,2000,2490,2590,1350,770,540,100,54019
Floyd County,37120,390,6180,8130,8400,4990,3480,4490,1060,51063
Fountain County,8010,80,1520,1790,2050,1180,720,570,100,18045
Franklin County,10740,170,2060,2150,2370,1560,1150,1080,200,53021
Fulton County,9580,150,1860,2220,2430,1340,800,650,130,42057
Gibson County,15960,150,2940,3240,3690,2410,1720,1590,220,47053
Grant County,29870,330,6020,8030,7200,3820,2300,1850,320,55043
Greene County,14530,200,2770,3320,3430,2140,1400,1140,130,51079
Hamilton County,139870,1950,20820,18010,23590,18170,15330,28940,13060,48193
Hancock County,34570,340,5430,6180,7390,5270,3950,5090,920,54029
Harrison County,18100,230,3080,3960,4480,2700,1790,1650,210,54033
Hendricks County,72820,670,11050,12060,15020,11130,8870,11870,2150,18063
Henry County,21640,240,3990,5410,5480,2980,1840,1480,220,51089
Howard County,39770,390,7270,9650,8970,5470,3590,3930,500,48227
Huntington County,17600,210,3310,3890,4270,2630,1730,1320,240,18069
INDIANA,3047520,33960,539890,692970,728550,417700,268030,294400,72020,18000
Jackson County,21770,230,3720,4600,6390,3040,1780,1650,360,55053
Jasper County,15360,180,2830,2990,3320,2320,1700,1790,230,48241
Jay County,9590,160,2010,2430,2470,1330,660,440,90,18075
Jefferson County,14700,170,2720,3420,3640,2150,1200,1190,210,55055
Jennings County,12770,140,2360,3180,3630,1740,950,690,80,18079
Johnson County,69860,700,11290,13100,15870,10200,7480,9120,2100,56019
Knox County,16570,210,3430,3710,3770,2280,1490,1370,310,48275
Kosciusko County,37800,490,6570,7780,9530,5890,3380,3230,930,18085
LaGrange County,16510,240,2870,3280,4360,3320,1340,900,200,18087
LaPorte County,51030,570,9240,12230,12000,6860,4680,4640,810,18091
Lake County,228310,2170,40060,54660,49780,30780,21470,25340,4050,47095
Lawrence County,20730,250,3820,4920,5280,2990,1780,1500,190,47099
Madison County,59240,560,10530,15730,15170,7950,4580,4110,610,51113
Marion County,449350,4730,76490,120680,120680,53930,29710,33500,9630,54049
Marshall County,21810,300,4160,4560,5780,3230,1880,1530,370,54051
Martin County,4690,50,920,940,1180,730,450,380,40,48317
Miami County,15330,180,2980,3640,3780,2230,1320,1070,130,39109
Monroe County,55730,800,10610,12900,12070,7200,4610,5840,1700,55081
Montgomery County,17960,210,3390,3730,4810,2550,1600,1440,230,51121
Morgan County,33280,390,5650,6910,7550,4930,3490,3770,590,54065
Newton County,6630,90,1180,1450,1550,1020,700,570,70,48351
Noble County,21640,250,3750,4620,6070,3420,1930,1400,200,40103
Ohio County,2800,30,500,630,670,430,290,230,20,54069
Orange County,8680,130,1820,2250,2220,1190,570,420,80,51137
Owen County,9550,120,1900,2410,2350,1390,720,600,60,21187
Parke County,6840,110,1300,1620,1690,960,590,490,80,18121
Perry County,8650,80,1640,1930,2120,1410,830,570,70,47135
Pike County,5700,50,1030,1170,1380,840,610,570,50,42103
Porter County,80000,850,13220,14500,15180,11170,9680,12910,2490,18127
Posey County,12260,120,2070,2220,2470,1940,1490,1670,280,18129
Pulaski County,5960,100,1180,1260,1510,860,500,420,130,51155
Putnam County,15700,230,2770,3360,3840,2360,1560,1400,180,54079
Randolph County,11770,160,2230,2920,3150,1620,920,650,120,54083
Ripley County,13240,190,2560,2840,3150,1910,1290,1110,190,29181
Rush County,7920,110,1430,1760,2040,1140,720,610,110,20165
Scott County,10290,140,1860,2640,2740,1450,790,590,80,51169
Shelby County,21460,200,3860,4500,5450,3180,2010,1930,330,48419
Spencer County,9890,120,1910,1830,2340,1560,1060,960,110,21215
St. Joseph County,123000,1290,23150,30370,29440,16020,9520,10250,2960,26149
Starke County,10210,140,1930,2450,2630,1510,800,680,70,18149
Steuben County,16160,260,2950,3680,4100,2280,1330,1270,290,36101
Sullivan County,8760,100,1680,2000,2080,1220,890,700,90,47163
Switzerland County,4050,70,790,1010,980,570,350,280,0,18155
Tippecanoe County,72630,710,13100,17300,16360,9480,6140,7500,2040,18157
Tipton County,7690,100,1350,1540,1800,1120,850,800,130,47167
Union County,3360,50,620,770,860,530,280,210,40,47173
Vanderburgh County,84760,760,16060,20700,20090,11290,6970,7040,1850,18163
Vermillion County,7330,90,1270,1710,1880,1100,680,540,60,18165
Vigo County,46040,460,9400,11910,10460,5940,3580,3460,830,18167
Wabash County,15000,200,3060,3390,3510,2230,1340,1060,210,18169
Warren County,4020,50,700,800,950,660,410,370,80,51187
Warrick County,28810,270,4870,5230,5900,4110,3310,3890,1230,18173
Washington County,12220,210,2320,2980,3270,1750,950,650,90,55131
Wayne County,30370,400,6340,7760,7460,4010,2180,1770,450,54099
Wells County,12980,140,2330,2660,3130,2050,1310,1150,210,38103
White County,12120,160,2400,2680,3000,1760,1000,930,190,47185
Whitley County,16310,190,2880,3230,3960,2670,1670,1460,250,21235
Allen County,5970,110,1210,1460,1600,800,420,290,80,39003
Anderson County,3550,90,650,790,870,530,300,270,50,48001
Atchison County,6990,90,1350,1600,1700,1040,620,500,90,29005
Barber County,2370,80,420,440,500,380,210,240,100,20007
Barton County,12740,180,2170,2870,3340,1850,1040,1000,290,29011
Bourbon County,6300,170,1260,1710,1530,800,440,320,70,21017
Brown County,4500,70,840,1020,1120,660,350,350,90,55009
Butler County,28740,350,4590,5450,5840,4260,3260,4080,910,42019
Chase County,1210,30,240,240,310,180,110,80,20,31029
Chautauqua County,1480,60,260,350,380,200,110,90,30,36013
Cherokee County,8710,140,1590,2340,2140,1250,700,480,70,48073
Cheyenne County,1320,40,240,280,330,170,110,110,40,31033
Clark County,990,20,190,180,230,170,100,80,20,55019
Clay County,4010,50,680,820,990,670,420,300,80,54015
Cloud County,4250,70,780,990,1050,670,380,250,60,20029
Coffey County,4090,60,720,810,820,570,380,630,100,20031
Comanche County,890,0,180,190,220,130,90,80,0,48093
Cowley County,15820,200,2530,3890,4120,2230,1400,1250,200,20035
Crawford County,16400,290,3400,4170,3910,2100,1190,1100,240,55023
Decatur County,1400,50,240,330,330,200,110,120,20,47039
Dickinson County,9190,150,1510,1950,2490,1460,850,690,90,26043
Doniphan County,3410,70,510,750,850,570,350,260,50,20043
Douglas County,49070,610,8160,10910,11190,6490,4410,5640,1660,55031
Edwards County,1520,20,260,300,420,230,140,110,40,48137
Elk County,1180,50,240,280,300,160,80,70,0,42047
Ellis County,13450,200,2340,2940,2990,1920,1310,1350,400,48139
Ellsworth County,2810,40,460,580,760,440,280,200,50,20053
Finney County,17440,140,2830,4220,5120,2330,1230,1210,360,20055
Ford County,15840,130,2120,3670,5730,2030,990,920,250,20057
Franklin County,11660,160,1990,2530,2960,1790,1100,990,140,53021
Geary County,18510,110,2350,6030,5810,2170,1120,830,90,20061
Gove County,1400,70,230,270,310,220,130,110,60,20063
Graham County,1320,40,280,280,270,180,120,120,30,37075
Grant County,3290,50,520,620,810,530,340,350,70,55043
Gray County,2700,40,410,450,690,420,260,320,110,48179
Greeley County,630,20,100,110,150,100,60,70,20,31077
Greenwood County,2880,60,540,690,750,410,200,190,40,45047
Hamilton County,1120,40,150,240,330,170,80,90,20,48193
Harper County,2750,60,450,640,700,380,240,200,80,40059
Harvey County,15730,160,2600,3210,3750,2450,1730,1560,270,20079
Haskell County,1790,40,240,320,500,270,160,190,70,48207
Hodgeman County,870,0,130,170,230,140,100,80,20,20083
Jackson County,6230,130,1030,1290,1570,980,660,510,60,55053
Jefferson County,8560,130,1260,1580,2010,1450,1040,970,120,55055
Jewell County,1520,50,300,320,380,220,130,90,30,20089
Johnson County,277890,3380,37740,41990,55890,38450,29310,50790,20340,56019
KANSAS,1325560,16930,211790,281490,317060,186570,122000,147350,42370,20000
Kearny County,1860,30,290,360,490,290,160,190,50,20093
Kingman County,3700,90,620,760,880,550,360,370,70,20095
Kiowa County,1160,30,210,240,260,180,110,100,30,40075
Labette County,9700,140,2010,2490,2510,1240,670,510,130,20099
Lane County,910,20,150,170,200,170,80,90,30,41039
Leavenworth County,32550,330,4670,6070,7100,4950,3940,4890,600,20103
Lincoln County,1520,60,280,350,380,220,110,120,0,56023
Linn County,4190,120,790,910,980,660,380,300,50,41043
Logan County,1420,30,230,290,330,210,120,170,40,54045
Lyon County,14400,220,2680,3530,3740,2000,1080,960,190,32019
Marion County,5410,140,920,1090,1330,930,550,390,60,54049
Marshall County,5080,80,900,1010,1230,790,520,440,110,54051
McPherson County,14060,190,2190,2600,3340,2340,1560,1530,310,46089
Meade County,2020,40,320,360,540,300,190,200,70,46093
Miami County,14780,230,2390,2630,3160,2230,1670,2070,400,39109
Mitchell County,3130,70,560,630,730,510,290,250,90,48335
Montgomery County,14610,210,2740,3660,3730,1970,1140,950,210,51121
Morris County,2670,80,460,560,670,410,240,210,40,48343
Morton County,1480,30,230,260,390,210,160,170,30,38059
Nemaha County,5030,80,910,910,1210,780,530,470,140,31127
Neosho County,7130,140,1330,1760,1750,1030,590,430,100,20133
Ness County,1500,30,240,260,340,260,150,160,60,20135
Norton County,2380,50,410,510,630,340,230,160,50,20137
Osage County,7400,120,1240,1550,1800,1220,740,670,60,40113
Osborne County,1890,50,350,470,450,240,150,140,40,20141
Ottawa County,2880,70,500,540,710,470,280,270,40,40115
Pawnee County,2960,50,500,600,850,400,270,220,70,40117
Phillips County,2640,80,500,580,640,350,250,200,40,30071
Pottawatomie County,10220,120,1640,1820,2300,1740,1220,1180,200,40125
Pratt County,4610,60,840,870,1050,710,470,450,160,20151
Rawlins County,1310,40,240,250,310,210,100,120,40,20153
Reno County,29090,310,5220,6760,7380,4170,2540,2170,540,20155
Republic County,2450,80,450,550,570,370,210,160,60,20157
Rice County,4350,60,740,880,1140,670,420,370,70,27131
Riley County,26870,280,4300,6700,6830,3420,2110,2540,690,20161
Rooks County,2500,70,450,560,580,370,230,180,60,20163
Rush County,1590,40,290,360,330,270,160,140,0,20165
Russell County,3320,90,580,760,810,490,280,240,70,51167
Saline County,27000,290,4800,6320,6900,3820,2250,2040,580,31151
Scott County,2440,40,380,480,580,330,240,290,100,51169
Sedgwick County,231770,2350,37220,53470,54570,32120,20550,24940,6550,20173
Seward County,10480,100,1420,2460,3710,1350,690,590,160,31159
Shawnee County,84400,700,13630,19130,21150,11810,7810,8440,1730,20177
Sheridan County,1310,60,210,240,290,190,100,150,70,56033
Sherman County,2830,70,560,650,700,370,200,210,70,48421
Smith County,1930,70,380,410,480,240,150,160,40,48423
Stafford County,2030,50,330,450,510,330,180,140,40,51179
Stanton County,1000,0,150,200,260,150,90,110,40,31167
Stevens County,2420,30,330,420,620,410,240,280,90,53065
Sumner County,10600,130,1770,2170,2390,1670,1200,1090,180,47165
Thomas County,3810,80,650,790,910,550,360,340,130,31171
Trego County,1540,40,240,320,380,220,160,150,30,20195
Wabaunsee County,3210,70,510,550,750,590,390,300,50,20197
Wallace County,710,20,150,130,140,110,60,70,30,20199
Washington County,2880,90,550,580,750,440,230,190,50,55131
Wichita County,1100,30,180,210,260,170,80,120,50,48485
Wilson County,4030,90,700,1000,1060,580,310,230,60,48493
Woodson County,1480,50,290,360,390,190,110,90,0,20207
Wyandotte County,69680,560,11720,20290,20280,8490,4210,3800,330,20209
Adair County,6960,200,1400,2230,1710,750,360,260,50,40001
Allen County,7800,140,1400,2140,2110,1080,510,350,70,39003
Anderson County,10260,120,1480,2230,2600,1620,1120,990,100,48001
Ballard County,3460,70,540,800,790,510,340,360,50,21007
Barren County,18150,320,3270,5020,4760,2340,1230,980,230,21009
Bath County,4540,80,860,1290,1190,570,320,230,0,51017
Bell County,9240,110,2060,2960,2130,1120,470,330,60,48027
Boone County,57940,520,8530,11060,12610,8300,6350,8690,1880,54005
Bourbon County,9000,270,1550,2310,2200,1100,710,720,140,21017
Boyd County,19660,200,3400,5000,4420,2660,1760,1830,390,31015
Boyle County,11980,180,2110,2840,2940,1620,1010,1000,280,21021
Bracken County,3670,60,640,880,950,580,300,230,30,21023
Breathitt County,4520,30,850,1360,1190,550,300,200,40,21025
Breckinridge County,7780,150,1340,1990,1970,1180,600,480,70,21027
Bullitt County,36320,290,5330,8100,9170,5570,3880,3650,330,21029
Butler County,5240,70,840,1530,1390,740,390,250,30,42019
Caldwell County,5510,120,950,1490,1320,770,430,370,60,48055
Calloway County,14810,250,2770,3780,3520,1940,1190,1110,250,21035
Campbell County,42600,410,6610,9010,10160,6070,4000,5190,1150,56005
Carlisle County,2150,30,360,550,530,290,180,180,30,21039
Carroll County,4760,50,860,1230,1120,650,430,380,40,51035
Carter County,10370,80,1910,2890,2570,1400,800,650,70,47019
Casey County,5890,160,1140,1900,1520,640,310,180,40,21045
Christian County,30230,340,4990,9820,8240,3310,1760,1440,330,29043
Clark County,15870,230,2640,4010,3800,2160,1400,1380,250,55019
Clay County,6410,160,1280,2040,1550,730,360,250,40,54015
Clinton County,3760,60,760,1200,1080,370,170,120,0,42035
Crittenden County,3580,80,610,940,870,470,340,240,30,21055
Cumberland County,2590,70,550,800,640,290,130,110,0,51049
Daviess County,44600,380,7470,11050,10540,6280,4220,3740,920,29061
Edmonson County,4680,80,820,1250,1280,670,340,210,30,21061
Elliott County,2100,30,350,620,550,300,140,110,0,21063
Estill County,5380,80,990,1640,1360,690,360,230,30,21065
Fayette County,139410,1820,21670,33090,33610,17740,11250,15180,5050,54019
Fleming County,5960,160,1050,1660,1530,800,420,290,50,21069
Floyd County,13300,110,2560,3750,3080,1720,1020,900,160,51063
Franklin County,24190,240,3690,5510,6310,3500,2240,2340,360,53021
Fulton County,2380,30,470,790,540,260,130,130,30,42057
Gallatin County,3480,50,580,920,910,510,250,260,0,30031
Garrard County,6700,120,1110,1620,1660,1000,670,460,60,21079
Grant County,10350,150,1820,2530,2630,1470,960,700,90,55043
Graves County,15360,230,2670,4140,3760,2090,1240,1030,200,21083
Grayson County,10130,190,1800,2890,2670,1350,690,450,90,51077
Green County,4390,130,840,1270,1140,570,250,170,20,55045
Greenup County,14900,130,2490,3630,3400,2090,1450,1440,270,21089
Hancock County,3780,30,610,800,810,720,440,340,30,54029
Hardin County,46920,480,7450,11440,11490,6970,4260,4140,690,48199
Harlan County,9380,160,1840,2780,2170,1150,700,510,70,31083
Harrison County,7780,140,1290,1900,1930,1120,740,590,70,54033
Hart County,7230,150,1390,2120,1990,900,410,240,30,21099
Henderson County,20100,180,3340,4980,4800,2830,1870,1760,340,48213
Henry County,7010,110,1060,1760,1830,1080,570,530,70,51089
Hickman County,1930,30,320,540,470,260,150,130,30,47081
Hopkins County,19140,170,3190,4650,4350,2820,1980,1680,300,48223
Jackson County,4480,70,810,1350,1220,620,250,160,0,55053
Jefferson County,367610,3710,59580,88750,92560,46350,28840,36030,11790,55055
Jessamine County,21290,290,3660,5060,5050,2800,1780,1900,750,21113
Johnson County,8000,70,1370,2160,1870,1160,700,560,110,56019
KENTUCKY,1883840,23600,314660,468980,459600,252100,157550,166620,40730,21000
Kenton County,77150,700,12060,16860,18540,10770,7150,8760,2310,21117
Knott County,5070,30,940,1490,1230,660,380,300,40,21119
Knox County,11150,200,2300,3670,2630,1210,640,420,80,48275
Larue County,6080,100,1040,1610,1570,850,500,360,50,21123
Laurel County,23610,350,4400,6580,5930,3170,1610,1260,310,21125
Lawrence County,5570,50,980,1510,1290,810,490,380,60,47099
Lee County,2210,20,450,740,550,250,120,80,0,51105
Leslie County,3640,0,680,1040,870,540,300,190,20,21131
Letcher County,7890,50,1510,2250,1820,1110,620,460,70,21133
Lewis County,4850,80,910,1410,1230,660,330,230,0,54041
Lincoln County,9320,160,1670,2600,2450,1310,680,400,50,56023
Livingston County,4020,60,630,1000,960,640,420,280,30,36051
Logan County,11310,170,1850,2900,2950,1710,880,720,130,54045
Lyon County,3310,60,580,790,770,460,300,300,50,32019
Madison County,34280,520,5840,8270,7780,4860,3090,3330,590,51113
Magoffin County,4040,50,720,1110,1070,560,320,180,30,21153
Marion County,8140,120,1410,2120,2280,1070,590,470,80,54049
Marshall County,13890,180,2210,3240,3180,2110,1410,1360,200,54051
Martin County,3260,30,640,970,600,440,370,190,20,48317
Mason County,7210,100,1300,1830,1640,890,640,670,140,54053
McCracken County,29980,380,5090,7710,6480,3760,2590,3110,860,21145
McCreary County,4890,60,1030,1720,1280,470,200,130,0,21147
McLean County,3940,60,640,990,920,550,390,340,50,38055
Meade County,12370,110,1980,2940,3080,1880,1210,1060,110,46093
Menifee County,2240,40,400,660,670,280,120,70,0,21165
Mercer County,9600,180,1640,2270,2340,1410,880,780,100,54055
Metcalfe County,3920,80,760,1260,1010,480,200,130,0,21169
Monroe County,4310,90,840,1380,1090,500,220,160,30,55081
Montgomery County,11160,200,1870,2800,2990,1510,910,750,130,51121
Morgan County,4170,60,680,1220,1120,590,270,200,30,54065
Muhlenberg County,12060,140,2020,3160,2810,1750,1170,890,120,21177
Nelson County,21110,250,3290,4950,5510,3110,2010,1690,300,51125
Nicholas County,2970,80,570,830,720,410,190,170,0,54067
Ohio County,9650,90,1490,2700,2530,1430,780,560,70,54069
Oldham County,26690,350,4140,4140,4600,3190,2790,5280,2200,48359
Owen County,4210,80,690,960,1110,660,380,300,30,21187
Owsley County,1350,0,340,410,340,140,70,50,0,21189
Pendleton County,5980,80,1010,1300,1600,930,570,450,40,54071
Perry County,10430,70,2030,2930,2490,1320,770,660,160,47135
Pike County,21320,230,3750,5550,4620,3200,1970,1580,420,42103
Powell County,5010,70,1010,1500,1270,610,310,210,30,30077
Pulaski County,25590,470,4650,7250,6530,3230,1640,1450,370,51155
Robertson County,830,0,160,210,230,110,70,50,0,48395
Rockcastle County,6020,100,1110,1670,1660,830,380,240,30,21203
Rowan County,8450,80,1700,2260,2030,1090,600,580,110,37159
Russell County,7070,140,1300,2220,1840,800,420,290,60,51167
Scott County,22360,240,3310,4460,4970,3220,2570,3100,490,51169
Shelby County,19960,290,2860,4430,4800,2670,1960,2300,650,48419
Simpson County,8110,100,1420,2080,2210,1130,580,510,80,28127
Spencer County,7870,100,980,1500,1770,1190,1040,1160,130,21215
Taylor County,10060,200,1930,2830,2520,1280,690,500,110,55119
Todd County,4910,80,820,1380,1240,670,360,290,70,46121
Trigg County,6000,110,1060,1540,1400,890,500,440,60,21221
Trimble County,3680,60,590,870,860,600,400,300,0,21223
Union County,5860,50,920,1340,1420,850,630,530,120,47173
Warren County,51170,660,9180,13210,12170,6350,4030,4340,1230,51187
Washington County,5130,100,880,1280,1410,700,380,340,40,55131
Wayne County,7550,110,1420,2410,2150,820,370,230,40,54099
Webster County,5390,60,760,1300,1330,820,590,470,60,54101
Whitley County,13330,250,2620,4030,3270,1540,810,640,170,21235
Wolfe County,2380,40,510,760,600,260,120,90,0,21237
Woodford County,12330,280,1860,2590,2780,1640,1240,1580,360,21239
Acadia Parish,24990,370,3980,6750,5620,3150,2010,2580,530,22001
Allen Parish,8820,70,1400,2360,2260,1210,720,710,90,22003
Ascension Parish,50730,430,6670,10250,10450,6960,5410,8930,1630,22005
Assumption Parish,9840,70,1460,2570,2190,1390,880,1100,180,22007
Avoyelles Parish,16250,170,2640,5140,3920,1880,1170,1110,220,22009
Beauregard Parish,13780,150,2000,3180,3150,2100,1380,1590,230,22011
Bienville Parish,5800,50,930,1800,1390,770,390,400,70,22013
Bossier Parish,53960,470,7300,13270,13020,7360,5070,6270,1200,22015
Caddo Parish,113900,1160,18140,35280,27320,12830,7340,8480,3350,22017
Calcasieu Parish,85610,860,13190,22750,18850,10770,7330,9620,2240,22019
Caldwell Parish,3830,60,550,1070,850,520,300,380,100,22021
Cameron Parish,3050,50,430,610,660,470,330,410,90,22023
Catahoula Parish,3770,80,560,1090,880,460,280,340,80,22025
Claiborne Parish,5560,60,830,1700,1330,640,410,480,110,22027
Concordia Parish,7700,100,1240,2590,1760,820,490,550,150,22029
De Soto Parish,11790,110,1810,3310,2770,1440,900,1200,250,22031
East Baton Rouge Parish,201870,2170,31200,55910,46520,22900,14160,21070,7940,22033
East Carroll Parish,2700,40,510,1170,530,170,110,120,50,22035
East Feliciana Parish,8360,90,1010,2380,2220,1080,670,770,140,22037
Evangeline Parish,12710,130,1950,3600,2920,1680,1050,1170,210,22039
Franklin Parish,8120,180,1400,2590,1790,910,510,590,150,22041
Grant Parish,8090,80,1180,2010,2030,1220,760,710,100,22043
Iberia Parish,32780,270,5140,9490,7420,4180,2540,2960,780,22045
Iberville Parish,13590,110,1860,4060,3270,1660,1010,1380,240,22047
Jackson Parish,6140,60,840,1790,1400,800,590,590,70,22049
Jefferson Davis Parish,13310,200,2150,3520,2970,1720,1160,1310,280,22053
